StationID	From_date	To_date	Height	Lat	Long	Station_Na	State	dateF	dateE	length
5149	20050101	20220110	306	49.5741	10.1915	Gollhofen	Bayern	2005	2020	16
5275	20040601	20220110	105	49.2445	8.5374	Waghäusel-Kirrlach	Baden-Württemberg	2005	2020	16
5300	20040701	20220110	380	50.2596	8.3607	Waldems-Reinborn	Hessen	2005	2020	16
5440	19950901	20220110	439	49.0115	10.9308	Weißenburg-Emetzheim	Bayern	1996	2020	25
5453	20050401	20220110	174	48.188	7.6976	Weisweil-Waldeckhof	Baden-Württemberg	2006	2020	15
5562	20040601	20220110	571	48.6516	8.6801	Neubulach-Oberhaugstett	Baden-Württemberg	2005	2020	16
5619	20041201	20220110	360	51.1637	7.4234	Wipperfürth-Gardeweg	Nordrhein-Westfalen	2005	2020	16
5635	20041001	20220110	147	49.9617	6.9287	Wittlich	Rheinland-Pfalz	2005	2020	16
5664	20040701	20220110	296	48.2953	8.2391	Wolfach	Baden-Württemberg	2005	2020	16
5692	20040901	20220110	88	49.6051	8.3659	Worms	Rheinland-Pfalz	2005	2020	16
5705	19950901	20220110	268	49.7704	9.9576	Würzburg	Bayern	1996	2020	25
5731	20040801	20220110	398	47.6783	8.3801	Wutöschingen-Ofteringen	Baden-Württemberg	2005	2020	16
6201	20041201	20220110	339	49.5334	10.1546	Simmershofen-Adelhofen	Bayern	2005	2020	16
6217	20041001	20220110	190	49.2406	6.9351	Saarbrücken-Burbach	Saarland	2005	2020	16
6258	20030105	20220110	461	47.6845	9.4409	Friedrichshafen-Unterraderach	Baden-Württemberg	2004	2020	17
6259	20040601	20220110	524	49.021	9.6033	Großerlach-Mannenweiler	Baden-Württemberg	2005	2020	16
6262	20021101	20220110	412	48.7695	9.8737	Schwäbisch Gmünd-Weiler	Baden-Württemberg	2003	2020	18
6263	20040701	20220110	445	47.7738	8.8219	Singen	Baden-Württemberg	2005	2020	16
6264	20040601	20220110	457	51.414	8.65	Brilon-Thülen	Nordrhein-Westfalen	2005	2020	16
6270	20040901	20220110	330	50.4099	10.4901	Römhild-Sülzdorf	Thüringen	2005	2020	16
6337	20040801	20220110	59	51.7663	7.5194	Lüdinghausen-Brochtrup	Nordrhein-Westfalen	2005	2020	16
6344	20041201	20220110	168	50.394	8.1423	Runkel-Ennerich	Hessen	2005	2020	16
6347	20050301	20220110	305	50.0579	10.2972	Schonungen-Mainberg	Bayern	2006	2020	15
7104	20050101	20220110	221	49.6208	9.6032	Königheim	Baden-Württemberg	2005	2020	16
7138	20050101	20220110	682	48.2962	9.0701	Burladingen-Hausen	Baden-Württemberg	2005	2020	16
7187	20041201	20220110	194	49.7636	9.4063	Freudenberg/Main-Boxtal	Baden-Württemberg	2005	2020	16
7341	20050718	20220110	119	50.0899	8.7862	Offenbach-Wetterpark	Hessen	2006	2020	15
